	files.file_name	datasets.title	files.data_modality	files.reference_genome	ollama_model	response_time
32	m84081_231124_024327_s3.fail_reads.default.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	115.47
33	m64136_210428_005505.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	133.98
34	LUC7L-BG293LV06-103B_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_293T	genomic	GRCh38	llama3.2	101.59
35	m84081_230721_192906_s4.fail_reads.bc2025.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	96.91
36	m64043_210707_032602.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	212.9
37	m84046_230727_225904_s1.fail_reads.bc2089.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	126.12
38	12_08_21_R941_HG02523_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	91.0
39	HG01928.GRCh38_no_alt.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	123.19
40	m64043_211114_112934_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	109.36
41	ZC3HAV1-BG293LV06-36_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_293T	genomic	GRCh38	llama3.2	115.62
42	08_10_21_R941_HG01993_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	129.19
43	08_10_21_R941_HG02647_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	159.89
44	m84046_230707_192442_s1.fail_reads.bc2062.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	213.75
45	m54329U_200610_234222.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	134.33
46	NT-BGRSLV08-1_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	141.04
47	m64011_190901_095311.hifi_reads.CpG.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	98.03
48	HG01243.hifiasm_mat.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	1045.98
49	08_03_21_R941_HG01960_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	225.91
50	m64043_211222_184851-bc1008.5mc.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	124.9
51	r64076_20220927_212043_C01.reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	114.6
52	m64043_210205_190424.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	168.36
53	HG02148_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	unknown	llama3.2	116.38
54	11_15_22_R1041_Duplex_HG002_6_Dorado_v0.1.1_400bps_sup.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	176.9
55	HG03486.paternal.CHM13Y_EBV.bam	ANVIL_HPRC	genomic	T2T-CHM13	llama3.2	118.78
56	HG03540_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	192.43
57	HG02630.f1_assembly_v2.hap2.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	186.73
58	08_17_21_R941_HG02280_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	unknown	llama3.2	201.96
59	IRF2BP1-BGRSLV04-12_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	hg19	llama3.2	144.06
60	m84046_230720_185410_s2.fail_reads.bc2002.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	178.78
61	HG02717.maternal.GRCh38_no_alt.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	105.53
62	HG02572_aligned_CHM13v1Y_winnowmap.sorted.bam	ANVIL_HPRC	genomic	T2T-CHM13	llama3.2	308.43
63	ZMAT3-BG293LV06-79B_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_293T	genomic	GRCh38	llama3.2	133.73
64	m54329U_210620_071842.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	101.09
65	m64043_201123_083343.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	112.67
66	07_20_21_R941_HG02698_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	215.5
67	m64043_210404_013046.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	208.39
68	m64055e_220913_060032.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	179.52
69	m64043_200714_124814.ccs.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	131.22
70	ZNF706-BGRSDLV04-78_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	unknown	llama3.2	103.13
71	ZMAT3-BGRSDLV02-62_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	186.27
72	1_3_23_R1041_Duplex_HG002_1_Dorado_v0.1.1_400bps_sup_stereo_duplex_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	174.29
73	HG02886.CHM13.bam	ANVIL_HPRC	genomic	T2T-CHM13	llama3.2	221.43
74	08_17_21_R941_HG02293_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	168.15
75	05_17_22_R941_GM18522_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	unknown	llama3.2	214.79
76	m64076_220918_143117-bc2060.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	138.48
77	m84046_230603_204152_s4.hifi_reads.bc2021.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	141.64
78	NT-BGRSDLV04-1_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	unknown	llama3.2	103.84
79	m84046_230901_223052_s3.hifi_reads.bc2036.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	110.39
80	HG005.maternal.hifi.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	111.17
81	HG03579_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	164.08
82	08_25_21_R941_HG02683_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	202.24
83	NA18906_aligned_GRCh38_winnowmap.sorted.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	110.45
84	08_17_21_R941_HG02809_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	102.62
85	GTSF1-BG293LV06-23_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_293T	genomic	GRCh38	llama3.2	173.77
86	HG01258.maternal.hifi.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	100.97
87	m84046_230501_151821_s4.fail_reads.bc2089.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	88.67
88	04_12_22_R941_HG02273_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	102.1
89	m84046_230701_003325_s1.fail_reads.default.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	110.21
90	HG02055.f1_assembly_v2_genbank.hap1.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	113.74
91	m64043_200518_053124.ccs.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	95.03
92	ZC3HAV1-BG293LV03-31_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_293T	genomic	GRCh38	llama3.2	138.93
93	m84046_230602_213334_s2.fail_reads.bc1009.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	113.94
94	m54306Ue_210730_180007.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	111.76
95	NA21309.GRCh38_no_alt.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	175.2
96	m54329U_200217_055345.ccs.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	168.25
97	m64043_211118_185250_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	161.89
98	m84046_230628_210130_s1.fail_reads.default.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	164.34
99	08_10_22_R941_GM18570_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	196.9
100	m64136_220619_164654-bc1010.5mc.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	154.6
101	m84046_230531_214232_s2.fail_reads.bc2021.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	231.39
102	04_11_23_R941_HG00735_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	113.04
103	RBBP6-BGRSLV06-19_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	144.12
104	r54329U_20220107_232725_A01_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	143.52
105	m64043_200428_155222.ccs.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	201.76
106	HG02257.CHM13Y_EBV.bam	ANVIL_HPRC	genomic	T2T-CHM13	llama3.2	148.7
107	04_12_22_R941_HG03225_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	91.69
108	07_20_21_R941_HG02602_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	112.78
109	m64136_220426_155627_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	94.71
110	m54306Ue_220815_144205.with_5mc.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	113.44
111	m64076_220914_214248-bc2060.5mc.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	104.64
112	PHF11-BGRSLV02-33_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	unknown	llama3.2	112.08
113	HG01361.maternal.hifi.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	213.05
114	m64043_220728_173215-bc1012.5mc.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	107.69
115	HG01109.paternal.hifi.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	118.89
116	m54329U_220103_072943-bc1011.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	214.26
117	02_17_22_R941_HG01074_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	213.18
118	HG03486.maternal.f1_assembly_v2.chm13_v1.0_plusY.Winnowmap.sorted.bam	ANVIL_HPRC	genomic	T2T-CHM13	llama3.2	104.01
119	HG03486.GRCh38_no_alt.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	105.73
120	m54329U_220916_162216-bc2061.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	120.57
121	m64043_211222_184851-bc1001.5mc.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	115.59
122	m84091_230705_184508_s4.fail_reads.bc1009.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	155.12
123	m64043_220501_041051_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	118.78
124	m64043_200718_004213.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	176.51
125	m64043_200618_201934.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	116.09
126	ZDHHC5-BGRSLV05-60_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	unknown	llama3.2	154.19
127	m84046_230428_231421_s3.fail_reads.bc2090.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	104.72
128	HG02886_aligned_GRCh38_winnowmap.sorted.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	96.88
129	m64043_210610_203329.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	126.48
130	08_10_21_R941_HG04187_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	172.05
131	HG03516_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	115.42
132	PHF7-BGRSDLV02-51dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	185.83
133	HG02055.f1_assembly_v2.hap1.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	162.37
134	m84046_230728_205153_s4.hifi_reads.bc2095.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	134.75
135	m54306Ue_220902_172744.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	126.15
136	MBNL1-BGRSDLV03-25_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	123.0
137	FUS-BGRSLV02-11_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	218.33
138	r54329U_20220916_161107_A01.reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	140.64
139	PPP1CA-BG293LV06-57_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_293T	genomic	GRCh38	llama3.2	139.8
140	11_15_22_R1041_Duplex_HG002_3_Dorado_v0.1.1_400bps_sup.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	143.87
141	HG02080.maternal.GRCh38_no_alt.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	168.59
142	HG00673.diploid.f1_assembly_v2_genbank.hifi.winnowmap_v2.03.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	127.77
143	12_08_21_R941_HG00423_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	unknown	llama3.2	218.06
144	TRNAU1AP-BG293LV06-31B_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_293T	genomic	GRCh38	llama3.2	119.46
145	06_28_22_R941_GM18983_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	126.18
146	m64076_220526_115049-bc2020.5mc.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	160.3
147	m84081_231105_031800_s4.fail_reads.default.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	194.17
148	HG01071_5_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	115.15
149	08_10_21_R941_HG00609_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	112.63
150	m64330e_220401_181429_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	145.38
151	m84091_230705_174256_s2.fail_reads.bc1002.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	194.92
152	m64136_220726_203708-bc1020.5mc.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	171.69
153	06_28_22_R941_HG02165_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	125.36
154	m64043_200405_180950.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	112.73
155	HG03492_aligned_GRCh38_winnowmap.sorted.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	209.57
156	07_27_21_R941_HG03669_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	95.16
157	m84091_231004_192043_s3.hifi_reads.bc1016.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	115.59
158	HG02622.f1_assembly_v2.hap1.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	142.31
159	m64136_201018_030620.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	232.98
160	07_27_21_R941_HG01934_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	130.27
161	m84081_231029_023649_s3.fail_reads.default.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	172.1
162	08_03_21_R941_HG02841_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	170.22
163	HG01071.hifiasm_pat.bam	ANVIL_HPRC	genomic	unknown	llama3.2	208.13
164	HG00621#2#h2tg000030l_20541446_23555227_ont.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	258.22
165	HG02886_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	219.0
166	12_7_22_R941_HG01123_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	111.1
167	1_11_23_R941_HG00741_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	189.3
168	m64334e_220419_183840_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	176.45
169	09_27_2022_R941_GM19043_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	178.13
170	02_15_22_R941_HG00658_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	138.17
171	m84091_230905_192642_s1.fail_reads.bc1019.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	288.85
172	m64043_211124_192057.5mc.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	237.8
173	m84046_230712_224626_s1.hifi_reads.default.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	188.8
174	m64330e_220227_061615_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	141.31
175	1_3_23_R1041_Duplex_HG002_2_duplex_splitduplex_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	154.51
176	HG00673.paternal.ont.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	147.73
177	m84091_231208_194716_s4.fail_reads.unassigned.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	105.77
178	m84046_230901_223052_s3.fail_reads.bc2036.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	159.81
179	HG03453_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	94.83
180	1_3_23_R1041_Duplex_HG002_3_Dorado_v0.1.1_400bps_sup.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	146.9
181	m64043_220719_122051-bc1017.5mc.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	101.09
182	HG005.GRCh38_no_alt.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	118.74
183	m54306Ue_210802_164702.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	207.7
184	LUC7L-BG293LV06-104B_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_293T	genomic	GRCh38	llama3.2	91.21
185	m64136_200705_061033.ccs.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	113.66
186	08_17_21_R941_HG02451_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	229.52
187	ZMAT5-BGRSDLV02-68dox_Aligned.sortedByCoord.out.bam	AnVIL_ENCORE_RS293	genomic	GRCh38	llama3.2	107.47
188	m84081_231124_014115_s1.hifi_reads.bc2092.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	135.75
189	08_10_21_R941_HG00609_3_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	121.95
190	m64076_200127_180545.ccs.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	163.05
191	06_28_22_R941_HG00140_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	125.7
192	r64457e_20220825_194243_B01.reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	103.77
193	HG01123.paternal.hap2.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	142.62
194	m64076_210621_234241.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	115.5
195	HG02559.paternal.GRCh38_no_alt.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	90.31
196	m84091_231004_192043_s3.fail_reads.unassigned.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	497.04
197	m64043_211115_222749_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	126.74
198	m54329U_200315_215927.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	127.33
199	06_28_22_R941_GM18612_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	167.46
200	HG01952.f1_assembly_v2.hap2.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	111.44
201	m64136_200629_125431.ccs.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	111.36
202	m64136_201016_205143.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	481.59
203	m84046_230720_182350_s1.fail_reads.bc2004.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	117.91
204	HG02723.maternal.CHM13Y_EBV.bam	ANVIL_HPRC	genomic	T2T-CHM13	llama3.2	101.74
205	m64043_200627_000137.ccs.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	119.02
206	m64136_210404_005706_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	221.8
207	m64136_210725_054129_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	126.21
208	m64043_200614_191756.ccs.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	168.17
209	m64043_210903_163032-bc1022.5mc.hifi_reads.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	114.53
210	HG01258.GRCh38_no_alt.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	106.27
211	m64043_211222_184851_q9_forDC.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	111.87
212	HG00673.hifiasm_pat.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	114.5
213	HG00673.GRCh38_no_alt.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	109.49
214	07_20_21_R941_HG02668_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_fail.bam	ANVIL_HPRC	genomic	GRCh38	llama3.2	173.41
